,county,state_name,month,days_of_rain,highCelsius,lowCelsius
6641,Somerset,New Jersey,April,8,16,3
6646,Somerset,New Jersey,septiembre,7,24,11
6647,Somerset,New Jersey,October,6,18,5
6648,Somerset,New Jersey,November,7,12,0
6649,Somerset,New Jersey,December,8,6,-4
6650,Sussex,New Jersey,May,10,21,8
6651,Sussex,New Jersey,June,9,26,13
6652,Sussex,New Jersey,July,8,28,16
6653,Sussex,New Jersey,August,8,27,15
6654,Sussex,New Jersey,January,7,2,-9
6655,Sussex,New Jersey,February,6,3,-8
6656,Sussex,New Jersey,March,7,8,-3
6657,Sussex,New Jersey,April,7,16,3
6662,Sussex,New Jersey,septiembre,7,24,11
6663,Sussex,New Jersey,October,7,17,4
6664,Sussex,New Jersey,November,6,11,-1
6665,Sussex,New Jersey,December,8,5,-5
6666,Union,New Jersey,May,9,23,10
6667,Union,New Jersey,June,9,28,15
6668,Union,New Jersey,July,8,30,18
6669,Union,New Jersey,August,8,29,17
6670,Union,New Jersey,January,8,5,-6
6671,Union,New Jersey,February,6,6,-5
6672,Union,New Jersey,March,8,11,-1
6673,Union,New Jersey,April,8,18,4
6678,Union,New Jersey,septiembre,7,25,13
6679,Union,New Jersey,October,6,19,6
6680,Union,New Jersey,November,7,13,2
6681,Union,New Jersey,December,8,7,-3
6682,Warren,New Jersey,May,9,23,10
6683,Warren,New Jersey,June,8,27,15
6684,Warren,New Jersey,July,8,30,18
6685,Warren,New Jersey,August,7,29,17
6686,Warren,New Jersey,January,8,3,-6
6687,Warren,New Jersey,February,6,5,-5
6688,Warren,New Jersey,March,8,11,-1
6689,Warren,New Jersey,April,8,17,4
6694,Warren,New Jersey,septiembre,7,25,13
6695,Warren,New Jersey,October,6,18,6
6696,Warren,New Jersey,November,7,12,2
6697,Warren,New Jersey,December,8,6,-3
6698,Bernalillo,New Mexico,May,4,27,10
6699,Bernalillo,New Mexico,June,4,33,16
6700,Bernalillo,New Mexico,July,8,34,19
6701,Bernalillo,New Mexico,August,9,32,18
6702,Bernalillo,New Mexico,January,4,9,-4
6703,Bernalillo,New Mexico,February,4,12,-2
6704,Bernalillo,New Mexico,March,5,17,1
6705,Bernalillo,New Mexico,April,4,22,5
6710,Bernalillo,New Mexico,septiembre,6,28,14
6711,Bernalillo,New Mexico,October,5,22,7
6712,Bernalillo,New Mexico,November,3,14,0
6713,Bernalillo,New Mexico,December,4,9,-4
6714,Chaves,New Mexico,May,4,30,10
6715,Chaves,New Mexico,June,5,35,15
6716,Chaves,New Mexico,July,7,35,18
6717,Chaves,New Mexico,August,8,34,17
6718,Chaves,New Mexico,January,3,14,-6
6719,Chaves,New Mexico,February,3,17,-4
6720,Chaves,New Mexico,March,3,21,0
6721,Chaves,New Mexico,April,3,26,5
6726,Chaves,New Mexico,septiembre,6,30,12
6727,Chaves,New Mexico,October,5,25,5
6728,Chaves,New Mexico,November,3,19,-2
6729,Chaves,New Mexico,December,2,14,-6
6730,Dona Ana,New Mexico,May,2,29,9
6731,Dona Ana,New Mexico,June,3,36,15
6732,Dona Ana,New Mexico,July,7,34,19
6733,Dona Ana,New Mexico,August,6,34,18
6734,Dona Ana,New Mexico,January,2,14,-6
6735,Dona Ana,New Mexico,February,2,17,-3
6736,Dona Ana,New Mexico,March,0,22,0
6737,Dona Ana,New Mexico,April,0,25,4
6742,Dona Ana,New Mexico,septiembre,4,30,14
6743,Dona Ana,New Mexico,October,4,26,6
6744,Dona Ana,New Mexico,November,2,19,-1
6745,Dona Ana,New Mexico,December,2,14,-4
6746,Lea,New Mexico,May,4,30,13
6747,Lea,New Mexico,June,5,35,18
6748,Lea,New Mexico,July,6,34,20
6749,Lea,New Mexico,August,6,34,19
6750,Lea,New Mexico,January,2,15,-1
6751,Lea,New Mexico,February,3,17,1
6752,Lea,New Mexico,March,3,22,4
6753,Lea,New Mexico,April,2,27,9
6758,Lea,New Mexico,septiembre,4,30,16
6759,Lea,New Mexico,October,2,26,10
6760,Lea,New Mexico,November,3,19,4
6761,Lea,New Mexico,December,3,14,-1
6762,McKinley,New Mexico,May,3,24,6
6763,McKinley,New Mexico,June,2,30,11
6764,McKinley,New Mexico,July,7,31,14
6765,McKinley,New Mexico,August,8,29,13
6766,McKinley,New Mexico,January,3,7,-6
6767,McKinley,New Mexico,February,2,10,-4
6768,McKinley,New Mexico,March,3,14,-2
6769,McKinley,New Mexico,April,2,19,1
6774,McKinley,New Mexico,septiembre,5,26,10
6775,McKinley,New Mexico,October,4,20,4
6776,McKinley,New Mexico,November,3,13,-2
6777,McKinley,New Mexico,December,3,8,-6
6778,Sandoval,New Mexico,May,3,26,6
6779,Sandoval,New Mexico,June,3,32,11
6780,Sandoval,New Mexico,July,8,33,14
6781,Sandoval,New Mexico,August,8,31,14
6782,Sandoval,New Mexico,January,3,10,-6
6783,Sandoval,New Mexico,February,3,12,-4
6784,Sandoval,New Mexico,March,3,16,-1
6785,Sandoval,New Mexico,April,2,21,2
6790,Sandoval,New Mexico,septiembre,5,28,10
6791,Sandoval,New Mexico,October,3,22,4
6792,Sandoval,New Mexico,November,3,15,-1
6793,Sandoval,New Mexico,December,3,10,-5
6794,San Juan,New Mexico,May,2,23,6
6795,San Juan,New Mexico,June,2,29,11
6796,San Juan,New Mexico,July,4,32,15
6797,San Juan,New Mexico,August,4,30,14
6798,San Juan,New Mexico,January,2,4,-8
6799,San Juan,New Mexico,February,3,8,-5
6800,San Juan,New Mexico,March,3,13,-2
6801,San Juan,New Mexico,April,2,18,1
6806,San Juan,New Mexico,septiembre,3,26,10
6807,San Juan,New Mexico,October,3,19,3
6808,San Juan,New Mexico,November,3,11,-3
6809,San Juan,New Mexico,December,3,5,-8
6810,Santa Fe,New Mexico,May,3,25,6
6811,Santa Fe,New Mexico,June,3,30,11
6812,Santa Fe,New Mexico,July,7,32,14
6813,Santa Fe,New Mexico,August,7,30,13
6814,Santa Fe,New Mexico,January,2,7,-8
6815,Santa Fe,New Mexico,February,2,11,-5
6816,Santa Fe,New Mexico,March,2,15,-2
6817,Santa Fe,New Mexico,April,2,20,1
6822,Santa Fe,New Mexico,septiembre,5,27,9
6823,Santa Fe,New Mexico,October,3,21,2
6824,Santa Fe,New Mexico,November,2,13,-3
6825,Santa Fe,New Mexico,December,2,8,-7
6826,Valencia,New Mexico,May,2,27,7
6827,Valencia,New Mexico,June,2,33,12
6828,Valencia,New Mexico,July,5,34,15
6829,Valencia,New Mexico,August,5,32,14
6830,Valencia,New Mexico,January,2,11,-8
6831,Valencia,New Mexico,February,2,14,-6
6832,Valencia,New Mexico,March,2,19,-2
6833,Valencia,New Mexico,April,2,23,2
6838,Valencia,New Mexico,septiembre,4,29,10
6839,Valencia,New Mexico,October,3,23,3
6840,Valencia,New Mexico,November,2,16,-4
6841,Valencia,New Mexico,December,2,10,-8
6842,Albany,New York,May,9,20,7
6843,Albany,New York,June,9,24,12
6844,Albany,New York,July,8,27,14
6845,Albany,New York,August,8,26,13
6846,Albany,New York,January,6,0,-12
6847,Albany,New York,February,6,1,-11
6848,Albany,New York,March,7,6,-6
6849,Albany,New York,April,8,13,1
6854,Albany,New York,septiembre,7,22,9
6855,Albany,New York,October,7,15,3
6856,Albany,New York,November,7,9,-2
6857,Albany,New York,December,7,2,-7
6858,Bronx,New York,May,9,22,12
6859,Bronx,New York,June,10,27,18
6860,Bronx,New York,July,7,30,22
6861,Bronx,New York,August,8,29,21
6862,Bronx,New York,January,7,4,-2
6863,Bronx,New York,February,6,5,-2
6864,Bronx,New York,March,8,11,2
6865,Bronx,New York,April,8,17,7
6870,Bronx,New York,septiembre,6,25,17
6871,Bronx,New York,October,7,18,11
6872,Bronx,New York,November,7,13,6
6873,Bronx,New York,December,8,7,1
6874,Broome,New York,May,10,20,9
6875,Broome,New York,June,9,24,14
6876,Broome,New York,July,8,27,17
6877,Broome,New York,August,8,26,16
6878,Broome,New York,January,8,0,-8
6879,Broome,New York,February,8,1,-7
6880,Broome,New York,March,9,6,-3
6881,Broome,New York,April,9,14,3
6886,Broome,New York,septiembre,7,22,12
6887,Broome,New York,October,8,15,6
6888,Broome,New York,November,9,9,1
6889,Broome,New York,December,10,2,-5
6890,Cattaraugus,New York,May,11,18,4
6891,Cattaraugus,New York,June,11,22,9
6892,Cattaraugus,New York,July,10,25,12
6893,Cattaraugus,New York,August,10,24,11
6894,Cattaraugus,New York,January,15,-2,-12
6895,Cattaraugus,New York,February,11,-1,-12
6896,Cattaraugus,New York,March,11,4,-8
6897,Cattaraugus,New York,April,11,11,-2
6902,Cattaraugus,New York,septiembre,10,20,8
6903,Cattaraugus,New York,October,12,13,2
6904,Cattaraugus,New York,November,13,7,-3
6905,Cattaraugus,New York,December,15,0,-8
6906,Cayuga,New York,May,9,19,8
6907,Cayuga,New York,June,10,24,13
6908,Cayuga,New York,July,9,27,15
6909,Cayuga,New York,August,8,26,14
6910,Cayuga,New York,January,7,-1,-9
6911,Cayuga,New York,February,6,0,-9
6912,Cayuga,New York,March,8,5,-5
6913,Cayuga,New York,April,9,12,1
6918,Cayuga,New York,septiembre,8,22,11
6919,Cayuga,New York,October,10,15,5
6920,Cayuga,New York,November,9,8,0
6921,Cayuga,New York,December,8,2,-5
6922,Chautauqua,New York,May,9,18,8
6923,Chautauqua,New York,June,9,23,13
6924,Chautauqua,New York,July,8,25,16
6925,Chautauqua,New York,August,8,24,15
6926,Chautauqua,New York,January,11,-1,-9
6927,Chautauqua,New York,February,8,0,-8
6928,Chautauqua,New York,March,10,5,-4
6929,Chautauqua,New York,April,10,12,2
6934,Chautauqua,New York,septiembre,9,20,12
6935,Chautauqua,New York,October,10,14,6
6936,Chautauqua,New York,November,12,8,1
6937,Chautauqua,New York,December,12,2,-5
6938,Chemung,New York,May,10,20,6
6939,Chemung,New York,June,9,24,11
6940,Chemung,New York,July,8,27,13
6941,Chemung,New York,August,8,26,12
6942,Chemung,New York,January,7,-1,-11
6943,Chemung,New York,February,6,1,-10
6944,Chemung,New York,March,7,6,-6
6945,Chemung,New York,April,8,13,0
6950,Chemung,New York,septiembre,8,22,8
6951,Chemung,New York,October,8,15,2
6952,Chemung,New York,November,8,8,-2
6953,Chemung,New York,December,8,2,-7
6954,Clinton,New York,May,11,19,7
6955,Clinton,New York,June,10,23,12
6956,Clinton,New York,July,10,26,15
6957,Clinton,New York,August,10,25,14
6958,Clinton,New York,January,8,-3,-13
6959,Clinton,New York,February,7,-2,-12
6960,Clinton,New York,March,8,4,-7
6961,Clinton,New York,April,9,11,0
6966,Clinton,New York,septiembre,9,20,9
6967,Clinton,New York,October,10,13,3
6968,Clinton,New York,November,9,6,-2
6969,Clinton,New York,December,10,0,-10
6970,Dutchess,New York,May,10,21,8
6971,Dutchess,New York,June,10,25,13
6972,Dutchess,New York,July,9,28,16
6973,Dutchess,New York,August,8,27,15
6974,Dutchess,New York,January,8,2,-8
6975,Dutchess,New York,February,8,3,-8
6976,Dutchess,New York,March,8,8,-4
6977,Dutchess,New York,April,9,16,2
6982,Dutchess,New York,septiembre,6,24,11
6983,Dutchess,New York,October,8,17,5
6984,Dutchess,New York,November,7,11,-1
6985,Dutchess,New York,December,10,4,-5
6986,Erie,New York,May,9,17,9
6987,Erie,New York,June,9,23,15
6988,Erie,New York,July,8,26,19
6989,Erie,New York,August,8,25,18
6990,Erie,New York,January,11,-1,-6
6991,Erie,New York,February,9,0,-7
6992,Erie,New York,March,9,5,-3
6993,Erie,New York,April,10,11,3
6998,Erie,New York,septiembre,8,21,14
6999,Erie,New York,October,10,15,7
7000,Erie,New York,November,10,9,3
7001,Erie,New York,December,11,2,-3
7002,Jefferson,New York,May,9,19,7
7003,Jefferson,New York,June,8,24,12
7004,Jefferson,New York,July,7,27,15
7005,Jefferson,New York,August,7,26,14
7006,Jefferson,New York,January,10,-2,-13
7007,Jefferson,New York,February,8,-1,-12
7008,Jefferson,New York,March,8,5,-6
7009,Jefferson,New York,April,9,12,1
7014,Jefferson,New York,septiembre,8,22,9
7015,Jefferson,New York,October,10,15,4
7016,Jefferson,New York,November,10,8,-1
7017,Jefferson,New York,December,11,2,-8
7018,Kings,New York,May,9,23,13
7019,Kings,New York,June,7,27,18
7020,Kings,New York,July,6,31,21
7021,Kings,New York,August,6,30,21
7022,Kings,New York,January,7,3,-4
7023,Kings,New York,February,7,5,-3
7024,Kings,New York,March,8,10,2
7025,Kings,New York,April,7,17,7
7030,Kings,New York,septiembre,6,26,17
7031,Kings,New York,October,5,19,10
7032,Kings,New York,November,7,13,6
7033,Kings,New York,December,8,7,0
7034,Livingston,New York,May,9,20,8
7035,Livingston,New York,June,8,25,13
7036,Livingston,New York,July,8,27,15
7037,Livingston,New York,August,7,26,14
7038,Livingston,New York,January,7,0,-9
7039,Livingston,New York,February,6,1,-9
7040,Livingston,New York,March,7,6,-5
7041,Livingston,New York,April,8,13,1
7046,Livingston,New York,septiembre,8,23,10
7047,Livingston,New York,October,9,16,5
7048,Livingston,New York,November,8,9,0
7049,Livingston,New York,December,8,3,-5
7050,Madison,New York,May,10,19,7
7051,Madison,New York,June,11,23,11
7052,Madison,New York,July,9,25,14
7053,Madison,New York,August,8,25,13
7054,Madison,New York,January,14,-2,-12
7055,Madison,New York,February,11,0,-11
7056,Madison,New York,March,11,4,-6
7057,Madison,New York,April,11,12,0
7062,Madison,New York,septiembre,9,21,9
7063,Madison,New York,October,11,14,3
7064,Madison,New York,November,12,7,-2
7065,Madison,New York,December,15,1,-7
7066,Monroe,New York,May,10,17,9
7067,Monroe,New York,June,10,23,14
7068,Monroe,New York,July,8,26,19
7069,Monroe,New York,August,8,25,18
7070,Monroe,New York,January,11,0,-6
7071,Monroe,New York,February,10,0,-6
7072,Monroe,New York,March,9,4,-3
7073,Monroe,New York,April,10,11,4
7078,Monroe,New York,septiembre,8,21,13
7079,Monroe,New York,October,11,15,7
7080,Monroe,New York,November,9,9,2
7081,Monroe,New York,December,12,2,-4
7082,Nassau,New York,May,8,19,11
7083,Nassau,New York,June,7,25,16
7084,Nassau,New York,July,6,27,19
7085,Nassau,New York,August,6,27,19
7086,Nassau,New York,January,7,3,-4
7087,Nassau,New York,February,6,4,-3
7088,Nassau,New York,March,8,9,1
7089,Nassau,New York,April,8,14,5
7094,Nassau,New York,septiembre,6,23,15
7095,Nassau,New York,October,6,18,9
7096,Nassau,New York,November,7,12,4
7097,Nassau,New York,December,8,6,-1
7098,New York,New York,May,9,22,12
7099,New York,New York,June,8,27,18
7100,New York,New York,July,8,29,20
7101,New York,New York,August,7,29,20
7102,New York,New York,January,8,4,-3
7103,New York,New York,February,7,6,-2
7104,New York,New York,March,8,11,2
7105,New York,New York,April,8,18,7
7110,New York,New York,septiembre,7,25,16
7111,New York,New York,October,6,18,10
7112,New York,New York,November,7,13,6
7113,New York,New York,December,8,7,0
7114,Niagara,New York,May,8,17,9
7115,Niagara,New York,June,8,22,15
7116,Niagara,New York,July,6,25,19
7117,Niagara,New York,August,7,25,18
7118,Niagara,New York,January,6,0,-5
7119,Niagara,New York,February,5,1,-5
7120,Niagara,New York,March,7,5,-1
7121,Niagara,New York,April,8,11,4
7126,Niagara,New York,septiembre,8,21,15
7127,Niagara,New York,October,8,15,9
7128,Niagara,New York,November,9,9,3
7129,Niagara,New York,December,9,3,-2
7130,Oneida,New York,May,12,21,8
7131,Oneida,New York,June,9,25,13
7132,Oneida,New York,July,9,27,16
7133,Oneida,New York,August,8,26,15
7134,Oneida,New York,January,8,-1,-10
7135,Oneida,New York,February,8,0,-10
7136,Oneida,New York,March,8,5,-4
7137,Oneida,New York,April,9,13,2
7142,Oneida,New York,septiembre,8,22,11
7143,Oneida,New York,October,12,15,5
7144,Oneida,New York,November,10,8,0
7145,Oneida,New York,December,11,2,-6
7146,Onondaga,New York,May,10,20,8
7147,Onondaga,New York,June,9,25,13
7148,Onondaga,New York,July,8,27,16
7149,Onondaga,New York,August,8,26,15
7150,Onondaga,New York,January,11,-1,-10
7151,Onondaga,New York,February,9,0,-9
7152,Onondaga,New York,March,10,6,-4
7153,Onondaga,New York,April,9,13,2
7158,Onondaga,New York,septiembre,8,22,11
7159,Onondaga,New York,October,10,15,5
7160,Onondaga,New York,November,12,9,0
7161,Onondaga,New York,December,12,2,-6
7162,Ontario,New York,May,9,20,8
7163,Ontario,New York,June,9,25,14
7164,Ontario,New York,July,9,28,16
7165,Ontario,New York,August,8,27,16
7166,Ontario,New York,January,8,0,-8
7167,Ontario,New York,February,7,1,-8
7168,Ontario,New York,March,9,6,-4
7169,Ontario,New York,April,10,13,2
7174,Ontario,New York,septiembre,9,23,12
7175,Ontario,New York,October,10,16,6
7176,Ontario,New York,November,9,9,1
7177,Ontario,New York,December,9,3,-4
7178,Orange,New York,May,9,22,8
7179,Orange,New York,June,9,26,13
7180,Orange,New York,July,8,29,16
7181,Orange,New York,August,8,28,15
7182,Orange,New York,January,7,2,-8
7183,Orange,New York,February,7,4,-7
7184,Orange,New York,March,7,9,-3
7185,Orange,New York,April,8,16,3
7190,Orange,New York,septiembre,7,24,11
7191,Orange,New York,October,6,17,5
7192,Orange,New York,November,6,11,0
7193,Orange,New York,December,8,5,-5
7194,Oswego,New York,May,9,20,7
7195,Oswego,New York,June,8,23,11
7196,Oswego,New York,July,7,26,15
7197,Oswego,New York,August,8,25,14
7198,Oswego,New York,January,13,-2,-12
7199,Oswego,New York,February,12,0,-11
7200,Oswego,New York,March,7,3,-7
7201,Oswego,New York,April,9,11,0
7206,Oswego,New York,septiembre,7,22,11
7207,Oswego,New York,October,12,15,5
7208,Oswego,New York,November,11,8,0
7209,Oswego,New York,December,12,1,-7
7210,Putnam,New York,May,10,20,8
7211,Putnam,New York,June,9,24,13
7212,Putnam,New York,July,8,27,16
7213,Putnam,New York,August,8,26,15
7214,Putnam,New York,January,9,1,-9
7215,Putnam,New York,February,7,2,-9
7216,Putnam,New York,March,8,7,-4
7217,Putnam,New York,April,8,14,2
7222,Putnam,New York,septiembre,7,22,11
7223,Putnam,New York,October,7,16,4
7224,Putnam,New York,November,7,9,0
7225,Putnam,New York,December,9,4,-6
7226,Queens,New York,May,10,21,11
7227,Queens,New York,June,9,27,17
7228,Queens,New York,July,8,29,20
7229,Queens,New York,August,6,29,20
7230,Queens,New York,January,8,5,-4
7231,Queens,New York,February,7,6,-3
7232,Queens,New York,March,7,11,1
7233,Queens,New York,April,9,16,6
7238,Queens,New York,septiembre,6,25,16
7239,Queens,New York,October,7,19,10
7240,Queens,New York,November,6,14,4
7241,Queens,New York,December,9,8,0
7242,Rensselaer,New York,May,10,20,8
7243,Rensselaer,New York,June,9,25,13
7244,Rensselaer,New York,July,8,28,16
7245,Rensselaer,New York,August,8,27,15
7246,Rensselaer,New York,January,7,-1,-11
7247,Rensselaer,New York,February,6,1,-10
7248,Rensselaer,New York,March,7,6,-5
7249,Rensselaer,New York,April,8,14,2
7254,Rensselaer,New York,septiembre,7,23,10
7255,Rensselaer,New York,October,8,16,4
7256,Rensselaer,New York,November,8,9,-1
7257,Rensselaer,New York,December,8,2,-7
7258,Richmond,New York,May,9,22,11
7259,Richmond,New York,June,8,27,16
7260,Richmond,New York,July,7,30,19
7261,Richmond,New York,August,7,29,19
7262,Richmond,New York,January,7,4,-5
7263,Richmond,New York,February,7,6,-3
7264,Richmond,New York,March,8,10,1
7265,Richmond,New York,April,7,17,6
7270,Richmond,New York,septiembre,7,25,15
7271,Richmond,New York,October,6,19,8
7272,Richmond,New York,November,7,13,4
7273,Richmond,New York,December,7,6,-1
7274,Rockland,New York,May,9,22,9
7275,Rockland,New York,June,9,26,14
7276,Rockland,New York,July,8,29,17
7277,Rockland,New York,August,8,28,16
7278,Rockland,New York,January,7,2,-8
7279,Rockland,New York,February,6,4,-7
7280,Rockland,New York,March,7,9,-2
7281,Rockland,New York,April,9,15,4
7286,Rockland,New York,septiembre,7,24,11
7287,Rockland,New York,October,6,17,4
7288,Rockland,New York,November,7,11,1
7289,Rockland,New York,December,7,5,-5
7290,St Lawrence,New York,May,10,17,5
7291,St Lawrence,New York,June,10,22,10
7292,St Lawrence,New York,July,9,25,13
7293,St Lawrence,New York,August,8,24,12
7294,St Lawrence,New York,January,8,-5,-17
7295,St Lawrence,New York,February,7,-3,-15
7296,St Lawrence,New York,March,8,2,-9
7297,St Lawrence,New York,April,9,10,-2
7302,St Lawrence,New York,septiembre,9,19,7
7303,St Lawrence,New York,October,10,13,1
7304,St Lawrence,New York,November,10,6,-4
7305,St Lawrence,New York,December,10,-2,-12
7306,Saratoga,New York,May,10,22,7
7307,Saratoga,New York,June,10,26,12
7308,Saratoga,New York,July,9,28,15
7309,Saratoga,New York,August,8,27,14
7310,Saratoga,New York,January,8,-1,-12
7311,Saratoga,New York,February,6,1,-11
7312,Saratoga,New York,March,8,7,-5
7313,Saratoga,New York,April,9,15,1
7318,Saratoga,New York,septiembre,8,23,9
7319,Saratoga,New York,October,8,16,3
7320,Saratoga,New York,November,8,8,-2
7321,Saratoga,New York,December,9,2,-8
7322,Schenectady,New York,May,10,21,12
7323,Schenectady,New York,June,9,25,17
7324,Schenectady,New York,July,7,28,20
7325,Schenectady,New York,August,8,27,19
7326,Schenectady,New York,January,7,0,-8
7327,Schenectady,New York,February,6,1,-7
7328,Schenectady,New York,March,7,6,-2
7329,Schenectady,New York,April,8,14,5
7334,Schenectady,New York,septiembre,7,22,14
7335,Schenectady,New York,October,6,16,7
7336,Schenectady,New York,November,8,9,2
7337,Schenectady,New York,December,9,2,-4
7338,Steuben,New York,May,9,19,4
7339,Steuben,New York,June,9,24,9
7340,Steuben,New York,July,8,26,12
7341,Steuben,New York,August,7,25,11
7342,Steuben,New York,January,6,-1,-12
7343,Steuben,New York,February,6,0,-12
7344,Steuben,New York,March,7,5,-7
7345,Steuben,New York,April,8,13,-1
7350,Steuben,New York,septiembre,8,21,7
7351,Steuben,New York,October,8,15,1
7352,Steuben,New York,November,8,7,-3
7353,Steuben,New York,December,7,1,-8
7354,Suffolk,New York,May,9,21,10
7355,Suffolk,New York,June,7,26,15
7356,Suffolk,New York,July,6,29,19
7357,Suffolk,New York,August,6,28,18
7358,Suffolk,New York,January,8,4,-4
7359,Suffolk,New York,February,7,5,-3
7360,Suffolk,New York,March,7,9,0
7361,Suffolk,New York,April,8,15,5
7366,Suffolk,New York,septiembre,6,24,15
7367,Suffolk,New York,October,6,18,9
7368,Suffolk,New York,November,7,12,4
7369,Suffolk,New York,December,8,7,-1
7370,Sullivan,New York,May,11,20,8
7371,Sullivan,New York,June,10,24,13
7372,Sullivan,New York,July,10,26,15
7373,Sullivan,New York,August,9,25,15
7374,Sullivan,New York,January,8,0,-8
7375,Sullivan,New York,February,7,1,-7
7376,Sullivan,New York,March,8,6,-3
7377,Sullivan,New York,April,9,14,2
7382,Sullivan,New York,septiembre,8,21,11
7383,Sullivan,New York,October,8,15,5
7384,Sullivan,New York,November,8,8,0
7385,Sullivan,New York,December,9,2,-5
7386,Tompkins,New York,May,10,20,8
7387,Tompkins,New York,June,9,25,13
7388,Tompkins,New York,July,9,27,16
7389,Tompkins,New York,August,8,26,15
7390,Tompkins,New York,January,9,0,-8
7391,Tompkins,New York,February,7,1,-8
7392,Tompkins,New York,March,8,6,-4
7393,Tompkins,New York,April,9,14,2
7398,Tompkins,New York,septiembre,8,22,11
7399,Tompkins,New York,October,9,16,5
7400,Tompkins,New York,November,9,9,0
7401,Tompkins,New York,December,9,3,-5
7402,Ulster,New York,May,9,21,10
7403,Ulster,New York,June,9,25,15
7404,Ulster,New York,July,9,28,18
7405,Ulster,New York,August,8,27,17
7406,Ulster,New York,January,8,1,-7
7407,Ulster,New York,February,7,3,-6
7408,Ulster,New York,March,8,8,-2
7409,Ulster,New York,April,8,15,4
7414,Ulster,New York,septiembre,7,22,13
7415,Ulster,New York,October,7,16,7
7416,Ulster,New York,November,7,9,2
7417,Ulster,New York,December,8,3,-4
7418,Warren,New York,May,9,21,7
7419,Warren,New York,June,10,25,12
7420,Warren,New York,July,8,28,15
7421,Warren,New York,August,8,27,14
7422,Warren,New York,January,7,-1,-12
7423,Warren,New York,February,6,1,-12
7424,Warren,New York,March,9,6,-7
7425,Warren,New York,April,8,13,0
7430,Warren,New York,septiembre,7,23,10
7431,Warren,New York,October,8,15,4
7432,Warren,New York,November,10,8,-2
7433,Warren,New York,December,9,2,-8
7434,Wayne,New York,May,9,21,8
7435,Wayne,New York,June,9,25,13
7436,Wayne,New York,July,7,28,16
7437,Wayne,New York,August,8,27,15
7438,Wayne,New York,January,11,0,-8
7439,Wayne,New York,February,8,1,-8
7440,Wayne,New York,March,8,6,-4
7441,Wayne,New York,April,9,14,2
7446,Wayne,New York,septiembre,8,23,12
7447,Wayne,New York,October,11,16,6
7448,Wayne,New York,November,11,9,1
7449,Wayne,New York,December,11,3,-5
7450,Westchester,New York,May,9,20,10
7451,Westchester,New York,June,8,25,15
7452,Westchester,New York,July,7,28,18
7453,Westchester,New York,August,7,27,18
7454,Westchester,New York,January,8,2,-6
7455,Westchester,New York,February,6,4,-5
7456,Westchester,New York,March,8,9,-1
7457,Westchester,New York,April,8,15,4
7462,Westchester,New York,septiembre,6,23,14
7463,Westchester,New York,October,6,17,7
7464,Westchester,New York,November,7,11,3
7465,Westchester,New York,December,8,5,-2
7466,Alamance,North Carolina,May,8,26,13
7467,Alamance,North Carolina,June,8,30,18
7468,Alamance,North Carolina,July,8,32,20
7469,Alamance,North Carolina,August,7,31,19
7470,Alamance,North Carolina,January,7,10,-2
7471,Alamance,North Carolina,February,6,12,-1
7472,Alamance,North Carolina,March,8,17,3
7473,Alamance,North Carolina,April,7,22,8
7478,Alamance,North Carolina,septiembre,6,28,16
7479,Alamance,North Carolina,October,5,22,9
7480,Alamance,North Carolina,November,6,17,3
7481,Alamance,North Carolina,December,7,12,0
7482,Brunswick,North Carolina,May,6,29,14
7483,Brunswick,North Carolina,June,7,33,19
7484,Brunswick,North Carolina,July,8,34,21
7485,Brunswick,North Carolina,August,10,33,21
7486,Brunswick,North Carolina,January,8,15,0
7487,Brunswick,North Carolina,February,7,17,2
7488,Brunswick,North Carolina,March,7,21,5
7489,Brunswick,North Carolina,April,5,25,9
7494,Brunswick,North Carolina,septiembre,8,31,18
7495,Brunswick,North Carolina,October,5,26,11
7496,Brunswick,North Carolina,November,5,21,5
7497,Brunswick,North Carolina,December,7,17,3
7498,Buncombe,North Carolina,May,8,24,12
7499,Buncombe,North Carolina,June,9,28,16
7500,Buncombe,North Carolina,July,9,29,18
7501,Buncombe,North Carolina,August,8,29,18
7502,Buncombe,North Carolina,January,7,8,-2
7503,Buncombe,North Carolina,February,7,10,-1
7504,Buncombe,North Carolina,March,9,15,3
7505,Buncombe,North Carolina,April,7,20,8
7510,Buncombe,North Carolina,septiembre,6,25,14
7511,Buncombe,North Carolina,October,5,20,8
7512,Buncombe,North Carolina,November,6,15,3
7513,Buncombe,North Carolina,December,7,10,0
7514,Burke,North Carolina,May,9,26,12
7515,Burke,North Carolina,June,8,30,16
7516,Burke,North Carolina,July,9,32,18
7517,Burke,North Carolina,August,8,31,18
7518,Burke,North Carolina,January,7,10,-3
7519,Burke,North Carolina,February,7,13,-1
7520,Burke,North Carolina,March,9,17,2
7521,Burke,North Carolina,April,7,22,7
7526,Burke,North Carolina,septiembre,7,27,14
7527,Burke,North Carolina,October,6,22,8
7528,Burke,North Carolina,November,7,17,2
7529,Burke,North Carolina,December,7,12,-1
7530,Cabarrus,North Carolina,May,8,27,13
7531,Cabarrus,North Carolina,June,8,31,18
7532,Cabarrus,North Carolina,July,8,33,20
7533,Cabarrus,North Carolina,August,7,32,20
7534,Cabarrus,North Carolina,January,8,11,-2
7535,Cabarrus,North Carolina,February,7,13,-1
7536,Cabarrus,North Carolina,March,8,18,3
